inquiry_id,fund_use_list,fund_amount_list,fund_use_count,total_fund_amount
0068621e-199e-4126-a10f-cff3f3219812,"['Working Capital', 'Technology Upgrade', 'Marketing', 'Staff Hiring', 'Equipment Purchase', 'Research and Development']","[813064.0, 2820834.0, 4587263.0, 558427.0, 3674596.0, 30698232.0]",6,43152416.0
0165411a-6390-4445-9db5-6481e7e61a19,"['Research and Development', 'Technology Upgrade', 'Inventory', 'Marketing', 'Staff Hiring', 'Office Expansion']","[2264555.0, 2532429.0, 2358288.0, 5907549.0, 5698656.0, 33817484.0]",6,52578961.0
019e8ccf-1214-4da4-8059-b7927029a885,"['Technology Upgrade', 'Staff Hiring']","[1635482.0, 47463272.0]",2,49098754.0
01c0c7f0-aed6-488c-8344-408f8ce3186e,"['Technology Upgrade', 'Staff Hiring', 'Research and Development', 'Equipment Purchase', 'Working Capital', 'Inventory']","[6757785.0, 4391235.0, 2235530.0, 8536606.0, 2091824.0, 58367086.0]",6,82380066.0
02155bb7-f18f-4dd8-abd1-a1f448f0cd2d,"['Working Capital', 'Equipment Purchase']","[637055.0, 98788396.0]",2,99425451.0
0384fcf5-5cf5-4dff-8894-0d258bf5e4ec,"['Equipment Purchase', 'Marketing', 'Working Capital', 'Technology Upgrade', 'Research and Development', 'Staff Hiring']","[9982580.0, 3818804.0, 1336000.0, 3031474.0, 885425.0, 28272265.0]",6,47326548.0
047d7464-01c1-4bbe-bac3-1c2cd8bb78ba,"['Technology Upgrade', 'Staff Hiring', 'Working Capital', 'Office Expansion']","[506957.0, 644613.0, 500000.0, 3682115.0]",4,5333685.0
049ee5b2-0325-40c5-b99b-c49be25953f8,"['Research and Development', 'Marketing', 'Inventory', 'Working Capital', 'Office Expansion']","[2833156.0, 8737852.0, 3934589.0, 1324347.0, 47392297.0]",5,64222241.0
04a52242-4528-4573-bf05-e2543465c97f,"['Working Capital', 'Office Expansion', 'Marketing', 'Inventory', 'Technology Upgrade', 'Research and Development']","[832602.0, 3703947.0, 937409.0, 6180550.0, 1674996.0, 34091579.0]",6,47421083.0
04aa2a49-89c6-41dc-9fa8-5ca535c6c5e2,"['Inventory', 'Office Expansion', 'Working Capital', 'Research and Development']","[966552.0, 681254.0, 500000.0, 6028997.0]",4,8176803.0
04acf4cc-d09c-47cf-94ab-66c89c1a5979,"['Research and Development', 'Marketing', 'Inventory']","[610627.0, 2088420.0, 14082348.0]",3,16781395.0
054544d7-1c1a-4f27-b8bb-fb6c43ae8593,"['Research and Development', 'Working Capital', 'Staff Hiring', 'Office Expansion', 'Technology Upgrade', 'Inventory', 'Marketing']","[1308768.0, 1261338.0, 3021570.0, 2143072.0, 639966.0, 1007553.0, 23393585.0]",7,32775852.0
