inquiry_id,ind_det_debts_interestRate,ind_det_debts_currentBalancet,ind_det_debts_monthlyPayment,ind_det_debts_originalAmount
3b686117-5f64-4b77-800f-f8659c09da61,[4.99],[836500],[53900],[3399900]
885016e6-da8d-45d1-a2ac-750b3ea4195c,"[12.67174697328973, 4.719429640457939, 4.162706530730604, 7.79236329936861]","[1555479, 5250931, 4567936, 572292]","[43208, 23030, 126887, 4336]","[2603567, 5692357, 4745809, 948549]"
8eef7d77-c284-4b09-843a-047dd7e18f40,[7.757329560702783],[979973],[16333],[4034197]
3e352196-a827-46ad-9d03-9e84b177fa3a,[9.719433611338856],[7363507],[153406],[8880918]
7af7fac9-4391-4d7f-8809-1e9d56a1b6af,"[6.252728319777652, 13.880071759023533, 9.613061949796169, 11.895467608074632]","[1353273, 246810, 1366188, 2140868]","[112773, 10284, 56925, 35681]","[3794866, 2550688, 1391587, 3839112]"
78e22302-3bed-4831-8643-e2f0afc25b21,"[5.87458765026613, 5.727945671079141, 8.824245045008961, 7.056258513467672, 6.805738463047894]","[3542779, 4425641, 717522, 1233064, 5251550]","[17367, 20489, 9966, 6422, 31259]","[8362108, 5317919, 5625414, 7316587, 5984415]"
ec77942f-4ea8-4ebe-85bb-a4c1190be238,"[17.159426378196756, 7.026511669639474]","[1266930, 703272]","[52789, 11721]","[4149344, 7497621]"
3d91bc7b-1ac4-41bc-8ca3-fd5317d32e16,"[3.337255535656008, 10.858613343586285, 5.84453224748505, 6.010494418196267]","[416381, 994728, 323301, 447914]","[2041, 27631, 3849, 7465]","[17062520, 1000000, 500000, 500000]"
7deced06-58ba-49b8-a25f-d8dfc2c0241c,"[6.158682257044468, 11.098064736890226, 5.56447068647653]","[9185765, 2464280, 19470052]","[26396, 29337, 90139]","[24929396, 6781610, 30450577]"
344e33ea-e1b6-49b9-9892-e4aad89306d0,"[4.577855699550403, 9.692172259942993, 6.2805849854631095]","[14757211, 290002, 3069988]","[94598, 6042, 28426]","[18313965, 5288892, 9560954]"
9d2ccc95-1d40-4018-935c-37f64bf66645,"[8.736539738839848, 6.73126204368202, 19.864711051768513]","[665528, 3741656, 128005]","[9243, 13557, 1524]","[1119745, 5000000, 200000]"
