inquiry_id,ind_det_credit_debts_balance,ind_det_debts_interestRate,ind_det_debts_currentBalancet,ind_det_debts_monthlyPayment,ind_det_debts_originalAmount,ind_det_expenses_monthlyAmount,ind_det_incomes_tyoe,ind_det_incomes_amount,tax_account_connected,has_no_incomes,has_no_expenses,has_no_debts,has_no_credit_debts,years_in_industry,years_as_management,ever_filed_bankruptcy,ongoing_lawsuits,credit_check_consent,citizenship_status,equity_injection,business_purchase_price,is_providing_collateral,is_interested_in_refinancing_existing_debt,total_fund_amount,fund_use_count,fund_use_list,fund_amount_list,status,type,loan_amount,is_buying_business,is_primarily_selling_or_providing_services,is_operating_for_profit,is_primarily_lending_business,is_pyramid_sale_distribution_plan,is_deriving_gambling_revenue,is_engaged_in_illegal_activity,is_private_club_with_limited_membership,is_government_owned_entity,is_loan_packager,is_associate_with_criminal_history,is_equity_owned_by_lender_or_cdc,is_presenting_prurient_performances,is_defaulted_on_federal_loan,is_engaged_in_political_or_lobbying_activities,is_speculative_in_nature,is_primarily_earning_from_rent_interest_or_investments,is_for_profit_subsidiary_of_nonprofit,is_pawn_shop,is_owned_or_controlled_by_native_american_tribe,crm_score,has_crm,has_middesk,liens_found,litigations_found,watchlist_hit
3b686117-5f64-4b77-800f-f8659c09da61,[231200],[4.99],[836500],[53900],[3399900],[120000],['W-2'],[950000],0,0,0,0,0,10,7,0,0,1,citizen,10000000,20000000.0,0,0,50000000.0,11,"['Laboratory Equipment (benchtop, freezers, centrifuges)', 'Leasehold Improvements & Wet Lab Buildout', 'Reagents & Consumables (6–9 months)', 'Salaries for 2 R&D Associates (6 months)', 'ELN/LIMS, Data Analysis Software & Cloud Compute', 'Regulatory/QA Consulting & GLP Documentation', 'IP/Patent Filings & Legal', 'Preclinical CRO Services (assays, tox screens)', 'EHS Compliance, Training & Biohazard Waste', 'Insurance (general, product, lab)', 'Quality Control & Reference Standards']","[14000000.0, 9000000.0, 6000000.0, 9000000.0, 2000000.0, 2500000.0, 2000000.0, 3500000.0, 500000.0, 750000.0, 750000.0]",in-progress,"['workingCapital', 'acquisition']",50000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
885016e6-da8d-45d1-a2ac-750b3ea4195c,"[127783, 138179, 133587]","[12.67174697328973, 4.719429640457939, 4.162706530730604, 7.79236329936861]","[1555479, 5250931, 4567936, 572292]","[43208, 23030, 126887, 4336]","[2603567, 5692357, 4745809, 948549]","[24103, 27009, 17551, 23498, 13431]",['investment'],[4436612],0,0,0,0,0,25,30,0,1,1,other,3423692,0.0,0,0,16817183.0,5,"['Office Expansion', 'Inventory', 'Working Capital', 'Research and Development', 'Technology Upgrade']","[884910.0, 996234.0, 500250.0, 513851.0, 13921938.0]",in-progress,['supplies'],16817183,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,512.0,1.0,0.0,0.0,0.0,0.0
8eef7d77-c284-4b09-843a-047dd7e18f40,[1882103],[7.757329560702783],[979973],[16333],[4034197],"[150099, 389851]","['freelance', 'salary', 'freelance']","[9232498, 23918772, 10092707]",0,0,0,0,0,17,8,0,0,1,permanentResident,15927121,0.0,1,0,56881763.0,3,"['Working Capital', 'Equipment Purchase', 'Office Expansion']","[1274606.0, 9921622.0, 45685535.0]",submitted,['equipmentPurchase'],56881763,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619.0,1.0,0.0,0.0,0.0,0.0
3e352196-a827-46ad-9d03-9e84b177fa3a,"[200694, 263705, 409472]",[9.719433611338856],[7363507],[153406],[8880918],"[12427, 41407, 20096]","['bonus', 'bonus', 'bonus']","[2583183, 2754243, 3193742]",0,0,0,0,0,26,27,1,0,1,other,4723487,0.0,1,0,32096928.0,2,"['Equipment Purchase', 'Technology Upgrade']","[3168893.0, 28928035.0]",in-progress,"['commercialRealEstate', 'CAPLines']",32096928,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481.0,1.0,0.0,0.0,0.0,0.0
78e22302-3bed-4831-8643-e2f0afc25b21,"[233046, 828660]","[5.87458765026613, 5.727945671079141, 8.824245045008961, 7.056258513467672, 6.805738463047894]","[3542779, 4425641, 717522, 1233064, 5251550]","[17367, 20489, 9966, 6422, 31259]","[8362108, 5317919, 5625414, 7316587, 5984415]","[201413, 76601, 115178, 101111]","['salary', 'freelance']","[19554704, 2599493]",0,0,0,0,0,1,5,0,0,1,citizen,15935230,9577337.0,1,0,98148449.0,4,"['Equipment Purchase', 'Office Expansion', 'Technology Upgrade', 'Working Capital']","[16075447.0, 2603232.0, 7057248.0, 72412522.0]",in-progress,"['acquisition', 'generalExpansion', 'supplies']",98148449,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,685.0,1.0,0.0,0.0,0.0,0.0
ec77942f-4ea8-4ebe-85bb-a4c1190be238,"[122790, 216440, 109070, 306793]","[17.159426378196756, 7.026511669639474]","[1266930, 703272]","[52789, 11721]","[4149344, 7497621]","[133819, 122889, 130844, 78129]","['salary', 'bonus', 'bonus']","[14903659, 4762308, 754166]",0,0,0,0,0,1,5,0,0,1,permanentResident,5800493,0.0,0,0,21563112.0,5,"['Research and Development', 'Marketing', 'Office Expansion', 'Technology Upgrade', 'Equipment Purchase']","[699733.0, 2782960.0, 1333494.0, 1210582.0, 15536343.0]",submitted,['equipmentPurchase'],21563112,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725.0,1.0,0.0,0.0,0.0,0.0
3d91bc7b-1ac4-41bc-8ca3-fd5317d32e16,"[110252, 126390]","[3.337255535656008, 10.858613343586285, 5.84453224748505, 6.010494418196267]","[416381, 994728, 323301, 447914]","[2041, 27631, 3849, 7465]","[17062520, 1000000, 500000, 500000]","[17931, 29799, 12612, 17942, 43163, 30561]","['bonus', 'freelance']","[462681, 4532619]",0,0,0,0,0,13,13,1,1,1,other,11753180,7723596.0,1,0,42904914.0,2,"['Inventory', 'Technology Upgrade']","[4816664.0, 38088250.0]",in-progress,['acquisition'],42904914,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,792.0,1.0,0.0,0.0,0.0,0.0
7deced06-58ba-49b8-a25f-d8dfc2c0241c,[898976],"[6.158682257044468, 11.098064736890226, 5.56447068647653]","[9185765, 2464280, 19470052]","[26396, 29337, 90139]","[24929396, 6781610, 30450577]","[116376, 22834]","['salary', 'freelance']","[19970669, 2817083]",0,0,0,0,0,12,26,0,0,1,permanentResident,1446607,9939421.0,1,0,10301211.0,3,"['Office Expansion', 'Technology Upgrade', 'Research and Development']","[624500.0, 809325.0, 8867386.0]",archived,"['workingCapital', 'acquisition', 'equipmentPurchase']",10301211,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800.0,1.0,0.0,0.0,0.0,0.0
344e33ea-e1b6-49b9-9892-e4aad89306d0,"[317779, 142685, 286325, 223961]","[4.577855699550403, 9.692172259942993, 6.2805849854631095]","[14757211, 290002, 3069988]","[94598, 6042, 28426]","[18313965, 5288892, 9560954]","[171796, 164487, 74321, 68281, 28687, 27268]","['freelance', 'salary', 'investment']","[10236641, 15887369, 2681589]",0,0,0,0,0,28,24,0,1,1,citizen,18339343,0.0,0,0,64253779.0,5,"['Technology Upgrade', 'Office Expansion', 'Working Capital', 'Inventory', 'Staff Hiring']","[3581446.0, 3038872.0, 1066421.0, 7386426.0, 49180614.0]",in-progress,['commercialRealEstate'],64253779,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598.0,1.0,0.0,0.0,0.0,0.0
9d2ccc95-1d40-4018-935c-37f64bf66645,"[100526, 100290]","[8.736539738839848, 6.73126204368202, 19.864711051768513]","[665528, 3741656, 128005]","[9243, 13557, 1524]","[1119745, 5000000, 200000]","[10807, 11653, 17575, 18584, 15204, 12490]",['freelance'],[2523598],0,0,0,0,0,27,5,0,0,1,citizen,18117671,8675775.0,0,0,79609582.0,5,"['Office Expansion', 'Marketing', 'Working Capital', 'Technology Upgrade', 'Research and Development']","[6628308.0, 5840058.0, 934051.0, 1148395.0, 65058770.0]",in-progress,"['workingCapital', 'acquisition']",79609582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.0,1.0,0.0,0.0,0.0,0.0
